MtrCode,MtrTitle,PRC_VALUE,PRC_CODE,prc_value,prc_code
ACILWHSCT,Continuous Household Survey: Accidents/Illnesses at Work,Accidents or illnesses at work,JRVAIW,Safe and Healthy Workplaces,MLBTH5P8
ADMITDEA,Primary Reason for Admissions to HSC Hospitals,Hospital activity,HAWLHA,Hospital Activity,MLBTH3P5
ADPTNSAGE,Adoptions,Adoptions,BDMA,Children Services,MLBTH1P6
ADPTNSSX,Adoptions,Adoptions,BDMA,Children Services,MLBTH1P6
ALLAPPLGD,ApprenticeshipsNI and Higher Level Apprenticeships by LGD,Apprenticeships,TAAPP,Education and Training,MLBTH2P3
ALLAPPSTEM,ApprenticeshipsNI and Higher Level Apprenticeships by Narrow STEM,Apprenticeships,TAAPP,Education and Training,MLBTH2P3
APPSNIAA,ApprenticeshipsNI,Apprenticeships,TAAPP,Education and Training,MLBTH2P3
APPSNILGD,ApprenticeshipsNI,Apprenticeships,TAAPP,Education and Training,MLBTH2P3
ARTCULEQ,Arts and Cultural Activities Participation,"Culture, arts, heritage and sport",CCAHS,"Arts, Culture and Sport",ACS
ASBAA,Anti-Social Behaviour Incidents,Anti-social behaviour,CANTISB,Recorded Crime and Anti-social Behaviour,MLBTH5P1
ASBDEA,Anti-Social Behaviour Incidents,Anti-social behaviour,CANTISB,Recorded Crime and Anti-social Behaviour,MLBTH5P1
ASBHSCT,Anti-Social Behaviour Incidents,Anti-social behaviour,CANTISB,Recorded Crime and Anti-social Behaviour,MLBTH5P1
ASBLGD,Anti-Social Behaviour Incidents,Anti-social behaviour,CANTISB,Recorded Crime and Anti-social Behaviour,MLBTH5P1
ASBUR,Anti-Social Behaviour Incidents,Anti-social behaviour,CANTISB,Crime and Justice,CJ
ASBUR,Anti-Social Behaviour Incidents,Anti-social behaviour,CANTISB,Recorded Crime and Anti-social Behaviour,MLBTH5P1
ASBWARD,Anti-Social Behaviour Incidents,Anti-social behaviour,CANTISB,Recorded Crime and Anti-social Behaviour,MLBTH5P1
BCREFHSCT,Breast Cancer Referrals,Hospital waiting times,HAWLHWT,Hospital Activity,MLBTH3P5
BFEEDAA,Breastfeeding on discharge,Pregnancy and early years,HIPEY,Pregnancy and Early Years,MLBTH1P2
BFEEDDEA,Breastfeeding on discharge,Pregnancy and early years,HIPEY,Pregnancy and Early Years,MLBTH1P2
BFEEDHSCT,Breastfeeding on discharge,Pregnancy and early years,HIPEY,Pregnancy and Early Years,MLBTH1P2
BFEEDLGD,Breastfeeding on discharge,Pregnancy and early years,HIPEY,Pregnancy and Early Years,MLBTH1P2
BRTHSACADDEA,Births Registered,Births,BDMB,Births Registered,MLBTH1P1
BRTHSACADLGD,Births Registered,Births,BDMB,Births Registered,MLBTH1P1
BRTHSACADWARD,Births Registered,Births,BDMB,Births Registered,MLBTH1P1
BSAA,Benefit Statistics,Benefits,DWRBB,Social Welfare,MLBTH4P2
BSDEA,Benefit Statistics,Benefits,DWRBB,Social Welfare,MLBTH4P2
BSDZ,Benefit Statistics,Benefits,DWRBB,Social Welfare,MLBTH4P2
BSHSCT,Benefit Statistics,Benefits,DWRBB,Social Welfare,MLBTH4P2
BSLGD,Benefit Statistics,Benefits,DWRBB,Civil Participation and Employment,DOM6
BSLGD,Benefit Statistics,Benefits,DWRBB,Social Welfare,MLBTH4P2
BSSDZ,Benefit Statistics,Benefits,DWRBB,Social Welfare,MLBTH4P2
BSWARD,Benefit Statistics,Benefits,DWRBB,Social Welfare,MLBTH4P2
C21008DEA,Long-term health problem or disability,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21008HSCT,Long-term health problem or disability,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21008LGD,Long-term health problem or disability,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21008NI,Long-term health problem or disability,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21009HSCT,General health by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21009LGD,General health by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21009NI,General health by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21010HSCT,Long-term health problem or disability by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21010LGD,Long-term health problem or disability by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
C21010NI,Long-term health problem or disability by age and sex,Census 2021,C2021,Health Conditions and Disability,MLBTH3P6
